sequencing_batch_id	species_code	era	site_id	match_id	collection_year_start	sequencing_type	#_of_individuals	seq_run_number	seq_complete?	hpc_name	hpc_path	read_length	project_owner	data_uploaded_by	geome_expedition_name	geome_expedition_guid	ncbi_bioproject_accession_number	ncbi_biosample_accession_number	ncbi_project_title	ncbi_data_public?	sequencing_notes	bioinformatics_notes
Aur-CRag_022	Aur	C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PRJNA1052058	SAMN39830500	NA	No	denovo genome assembly	NA
Hte-CTic_070	Aur	C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PRJNA1052058	SAMN39830500	NA	No	denovo genome assembly	NA
Cha_ACeb_1908_LCWGS_2	Cha	A	Ceb	Pand	1908	LCWGS	7	2	No	wahab.hpc.odu.edu	/archive/carpenterlab/pire/pire_corythoichthys_haematopterus_lcwgs/1st_sequencing_run	PE_150	John_Whalen	NA	Cha_1908_CebuCity_Cebu_lcwgs	https://n2t.net/ark:/21547/GdL2	PRJNA1338349	NA	Corythoichthys_haematopterus_1908_CebuCity_Cebu_lcwgs	No	NA	NA
Cha_APnd_1909_LCWGS_1	Cha	A	Pnd	Pand	1909	LCWGS	33	1	No	wahab.hpc.odu.edu	/archive/carpenterlab/pire/pire_corythoichthys_haematopterus_lcwgs/1st_sequencing_run	PE_150	John_Whalen	NA	Cha_1909_Getafe_Bohol_lcwgs	https://n2t.net/ark:/21547/GdF2	PRJNA1338567	NA	Corythoichthys_haematopterus_1909_Getafe_Bohol_lcwgs	No	NA	NA
Cha_APnd_1908_LCWGS_1	Cha	A	Pnd	Pand	1908	LCWGS	7	1	No	wahab.hpc.odu.edu	/archive/carpenterlab/pire/pire_corythoichthys_haematopterus_lcwgs/1st_sequencing_run	PE_150	John_Whalen	NA	Cha_1908_CebuCity_Cebu_lcwgs	https://n2t.net/ark:/21547/GdL2	PRJNA1338349	NA	Corythoichthys_haematopterus_1908_CebuCity_Cebu_lcwgs	No	NA	NA
Cha_APnd_1909_LCWGS_2	Cha	A	Pnd	Pand	1909	LCWGS	33	2	No	wahab.hpc.odu.edu	/archive/carpenterlab/pire/pire_corythoichthys_haematopterus_lcwgs/2nd_sequencing_run	PE_150	John_Whalen	NA	Cha_1909_Getafe_Bohol_lcwgs	https://n2t.net/ark:/21547/GdF2	PRJNA1338567	NA	Corythoichthys_haematopterus_1909_Getafe_Bohol_lcwgs	No	NA	NA
Cha_CPnd_2021_LCWGS_1	Cha	C	Pnd	Pand	2021	LCWGS	64	1	No	wahab.hpc.odu.edu	/archive/carpenterlab/pire/pire_corythoichthys_haematopterus_lcwgs/1st_sequencing_run	PE_150	John_Whalen	NA	Cha_2021_Getafe_Bohol_lcwgs	https://n2t.net/ark:/21547/Gcz2	PRJNA1338510	NA	Corythoichthys_haematopterus_2021_Getafe_Bohol_lcwgs	No	NA	NA
Cha_CPnd_2021_LCWGS_2	Cha	C	Pnd	Pand	2021	LCWGS	48	2	No	wahab.hpc.odu.edu	/archive/carpenterlab/pire/pire_corythoichthys_haematopterus_lcwgs/2nd_sequencing_run	PE_150	John_Whalen	NA	Cha_2021_Getafe_Bohol_lcwgs	https://n2t.net/ark:/21547/Gcz2	PRJNA1338510	NA	Corythoichthys_haematopterus_2021_Getafe_Bohol_lcwgs	No	NA	NA
Cha_CPnd_2021_SSL_1	Cha	C	Pnd	Pand	2021	SSL	1	1	Yes	wahab.hpc.odu.edu	/home/e1garcia/shotgun_PIRE/pire_ssl_data_processing/corythoichthys_haematopterus	PE_150	John_Whalen	NA	Cha_2021_PandanonIsland_Bohol_ssl	NA	NA	NA	NA	NA	NA	NA
Cvi_APal_1909_LCWGS_1	Cvi	A	Pal	Bali	1909	LCWGS	40	1	Yes	wahab.hpc.odu.edu	/home/e1garcia/shotgun_PIRE/pire_lcwgs_data_processing/chromis_viridis/1st_sequencing_run	PE_150	Jem_Baldisimo	Gianna_Mazzei	Cvi_1909_BatagIsland_NorthernSamar_lcwgs	https://n2t.net/ark:/21547/GWe2	PRJNA1313343	NA	Chromis_viridis_1909_BatagIsland_NorthernSamar_lcwgs	No	NA	NA
Cvi_APal_1909_LCWGS_2	Cvi	A	Pal	Bali	1909	LCWGS	40	2	Yes	wahab.hpc.odu.edu	/home/e1garcia/shotgun_PIRE/pire_lcwgs_data_processing/chromis_viridis/2nd_sequencing_run	PE_150	Jem_Baldisimo	Gianna_Mazzei	Cvi_1909_BatagIsland_NorthernSamar_lcwgs	https://n2t.net/ark:/21547/GWe2	PRJNA1313343	NA	Chromis_viridis_1909_BatagIsland_NorthernSamar_lcwgs	No	NA	NA
Cvi_CPal_2022_LCWGS_1	Cvi	C	Pal	Bali	2022	LCWGS	64	1	Yes	wahab.hpc.odu.edu	/home/e1garcia/shotgun_PIRE/pire_lcwgs_data_processing/chromis_viridis/1st_sequencing_run	PE_150	Jem_Baldisimo	Gianna_Mazzei	Cvi_2022_Biri_NorthernSamar_lcwgs	https://n2t.net/ark:/21547/GWY2	PRJNA1313319	NA	Chromis_viridis_2022_Biri_NorthernSamar_lcwgs	No	NA	NA
Cvi_CPal_2022_LCWGS_2	Cvi	C	Pal	Bali	2022	LCWGS	48	2	Yes	wahab.hpc.odu.edu	/home/e1garcia/shotgun_PIRE/pire_lcwgs_data_processing/chromis_viridis/2nd_sequencing_run	PE_150	Jem_Baldisimo	Gianna_Mazzei	Cvi_2022_Biri_NorthernSamar_lcwgs	https://n2t.net/ark:/21547/GWY2	PRJNA1313319	NA	Chromis_viridis_2022_Biri_NorthernSamar_lcwgs	No	NA	NA
Cvi_CPal_2022_SSL_1	Cvi	C	Pal	Bali	2022	SSL	1	1	Yes	wahab.hpc.odu.edu	/home/e1garcia/shotgun_PIRE/pire_ssl_data_processing/chromis_viridis	PE_150	Jem_Baldisimo	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dar_AJol_1908_LCWGS_1	Dar	A	Jol	Jolo	1908	LCWGS	21	1	No	wahab.hpc.odu.edu	/home/e1garcia/shotgun_PIRE/pire_lcwgs_data_processing/dascyllus_aruanus/1st_sequencing_run	PE_150	Jem_Baldisimo	Gianna_Mazzei	Dar_1908_MarungasIsland_Sulu_lcwgs	https://n2t.net/ark:/21547/GUW2	PRJNA1052058	NA	Dascyllus_aruanus_1908_MarungasIsland_Sulu_lcwgs	No	NA	NA
Dar_AJol_1908_LCWGS_2	Dar	A	Jol	Jolo	1908	LCWGS	21	2	NA	wahab.hpc.odu.edu	/archive/carpenterlab/pire/pire_dascyllus_aruanus_lcwgs/2nd_sequencing_run	PE_150	Jem_Baldisimo	Gianna_Mazzei	Dar_1908_MarungasIsland_Sulu_lcwgs	https://n2t.net/ark:/21547/GUW2	PRJNA1052058	NA	Dascyllus_aruanus_1908_MarungasIsland_Sulu_lcwgs	No	NA	NA
Dar_CJol_2021_LCWGS_1	Dar	C	Jol	Jolo	2021	LCWGS	64	1	No	wahab.hpc.odu.edu	/home/e1garcia/shotgun_PIRE/pire_lcwgs_data_processing/dascyllus_aruanus/1st_sequencing_run	PE_150	Jem_Baldisimo	Gianna_Mazzei	Dar_2021_JoloIsland_Sulu_lcwgs	https://n2t.net/ark:/21547/GUc2	PRJNA1310006	NA	Dascyllus_aruanus_2021_JoloIsland_Sulu_lcwgs	No	NA	NA
Dar_CJol_2021_LCWGS_2	Dar	C	Jol	Jolo	2021	LCWGS	48	2	NA	wahab.hpc.odu.edu	/archive/carpenterlab/pire/pire_dascyllus_aruanus_lcwgs/2nd_sequencing_run	PE_150	Jem_Baldisimo	Gianna_Mazzei	Dar_2021_JoloIsland_Sulu_lcwgs	https://n2t.net/ark:/21547/GUc2	PRJNA1310006	NA	Dascyllus_aruanus_2021_JoloIsland_Sulu_lcwgs	No	NA	NA
Dar_CJol_2021_SSL_1	Dar	C	Jol	Jolo	2021	SSL	1	1	Yes	wahab.hpc.odu.edu	/home/e1garcia/shotgun_PIRE/pire_ssl_data_processing/dascyllus_aruanus	PE_150	Jem_Baldisimo	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adu-CHam_028	Dba	C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PRJNA1052058	SAMN39830502	NA	No	denovo genome assembly	NA
Adu-CMat_001	Dba	C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PRJNA1052058	SAMN39830502	NA	No	denovo genome assembly	NA
Eps_CBai_2018_SSL_1	Eps	C	Bai	Bais	2018	SSL	1	1	Yes	wahab.hpc.odu.edu	/home/e1garcia/shotgun_PIRE/pire_ssl_data_processing/encrasicholina_pseudoheteroloba	PE_150	dropped_species	NA	NA	NA	NA	NA	NA	NA	Sequencing_data_weird-dropping_from_priority_list	NA
Gma_CRag_2022_SSL_1	Gma	C	Rag	RagR	2022	SSL	1	1	Yes	wahab.hpc.odu.edu	/home/e1garcia/shotgun_PIRE/pire_ssl_data_processing/gerres_macracanthus	PE_150	Brendan_Reid	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gmi_ABas_1909_CSSL_1	Gmi	A	Bas	Basu	1909	CSSL	28	1	Yes	wahab.hpc.odu.edu	/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/gazza_minuta/1st_sequencing_run	PE_150	Chandy_Jablonski	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gmi_ABas_1909_CSSL_2	Gmi	A	Bas	Basu	1909	CSSL	52	2	Yes	wahab.hpc.odu.edu	/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/gazza_minuta/2nd_sequencing_run	PE_150	Chandy_Jablonski	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gmi_AHam_1908_CSSL_1	Gmi	A	Ham	HamC	1908	CSSL	33	1	Yes	wahab.hpc.odu.edu	/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/gazza_minuta/1st_sequencing_run	PE_150	Rene_Clark	Kyra_Fitz	Gmi_1908_Nasugbu_Batangas	https://n2t.net/ark:/21547/FMB2	PRJNA998057	NA	Gazza_minuta_1908_Nasugbu_Batangas_CaptureSeq	No	NA	NA
Gmi_AHam_1908_CSSL_2	Gmi	A	Ham	HamC	1908	CSSL	68	2	Yes	wahab.hpc.odu.edu	/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/gazza_minuta/2nd_sequencing_run	PE_150	Rene_Clark	Kyra_Fitz	Gmi_1908_Nasugbu_Batangas	https://n2t.net/ark:/21547/FMB2	PRJNA998057	NA	Gazza_minuta_1908_Nasugbu_Batangas_CaptureSeq	No	NA	NA
Gmi_CBas_2019_CSSL_1	Gmi	C	Bas	Basu	2019	CSSL	92	1	Yes	wahab.hpc.odu.edu	/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/gazza_minuta/1st_sequencing_run	PE_150	Chandy_Jablonski	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gmi_CBas_2019_CSSL_2	Gmi	C	Bas	Basu	2019	CSSL	61	2	Yes	wahab.hpc.odu.edu	/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/gazza_minuta/2nd_sequencing_run	PE_150	Chandy_Jablonski	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gmi_CBat_2018_CSSL_1	Gmi	C	Bat	HamC	2018	CSSL	96	1	Yes	wahab.hpc.odu.edu	/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/gazza_minuta/1st_sequencing_run	PE_150	Rene_Clark	Kyra_Fitz	Gmi_2018_Nasugbu_Batangas	https://n2t.net/ark:/21547/FMH2	PRJNA998814	NA	Gazza_minuta_2018_Nasugbu_Batangas_CaptureSeq	No	NA	NA
Gmi_CBat_2018_CSSL_2	Gmi	C	Bat	HamC	2018	CSSL	64	2	Yes	wahab.hpc.odu.edu	/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/gazza_minuta/2nd_sequencing_run	PE_150	Rene_Clark	Kyra_Fitz	Gmi_2018_Nasugbu_Batangas	https://n2t.net/ark:/21547/FMH2	PRJNA998814	NA	Gazza_minuta_2018_Nasugbu_Batangas_CaptureSeq	No	NA	NA
Goy_APnd_1909_LCWGS_1	Goy	A	Pnd	Pand	1909	LCWGS	67	1	Yes	wahab.hpc.odu.edu	/archive/carpenterlab/pire/pire_gerres_oyena_lcwgs/1st_sequencing_run	PE_150	John_Whalen	Gianna_Mazzei	Goy_1909_Getafe_Bohol_lcwgs	https://n2t.net/ark:/21547/FvB2	PRJNA1193264	NA	Gerres_oyena_1909_Getafe_Bohol_lcwgs	No	Albatross_separated_into_two_expeditions_since_individuals_(001-054)_and_(055-067)_differed_by_year_and_municipality	NA
Goy_APnd_1908_LCWGS_1	Goy	A	Pnd	Pand	1908	LCWGS	13	1	Yes	wahab.hpc.odu.edu	/archive/carpenterlab/pire/pire_gerres_oyena_lcwgs/1st_sequencing_run	PE_150	John_Whalen	Gianna_Mazzei	Goy_1908_Calape_Bohol_lcwgs	https://n2t.net/ark:/21547/FvH2	PRJNA1193122	NA	Gerres_oyena_1908_Calape_Bohol_lcwgs	No	Albatross_separated_into_two_expeditions_since_individuals_(001-054)_and_(055-067)_differed_by_year_and_municipality.SiteID_Pnd_on_Wahab	NA
Goy_APnd_1909_LCWGS_2	Goy	A	Pnd	Pand	1909	LCWGS	48	2	Yes	wahab.hpc.odu.edu	/archive/carpenterlab/pire/pire_gerres_oyena_lcwgs/2nd_sequencing_run	PE_150	John_Whalen	Gianna_Mazzei	Goy_1909_Getafe_Bohol_lcwgs	https://n2t.net/ark:/21547/FvB2	PRJNA1193264	NA	Gerres_oyena_1909_Getafe_Bohol_lcwgs	No	Albatross_separated_into_two_expeditions_since_individuals_(001-054)_and_(055-067)_differed_by_year_and_municipality	NA
Goy_APnd_1908_LCWGS_2	Goy	A	Pnd	Pand	1908	LCWGS	7	2	Yes	wahab.hpc.odu.edu	/archive/carpenterlab/pire/pire_gerres_oyena_lcwgs/2nd_sequencing_run	PE_150	John_Whalen	Gianna_Mazzei	Goy_1908_Calape_Bohol_lcwgs	https://n2t.net/ark:/21547/FvH2	PRJNA1193122	NA	Gerres_oyena_1908_Calape_Bohol_lcwgs	No	Albatross_separated_into_two_expeditions_since_individuals_(001-054)_and_(055-067)_differed_by_year_and_municipality.SiteID_Pnd_on_Wahab	NA
Goy_CPnd_2021_LCWGS_1	Goy	C	Pnd	Pand	2021	LCWGS	64	1	Yes	wahab.hpc.odu.edu	/archive/carpenterlab/pire/pire_gerres_oyena_lcwgs/1st_sequencing_run	PE_150	John_Whalen	Gianna_Mazzei	Goy_2021_Getafe_Bohol_lcwgs	https://n2t.net/ark:/21547/FvN2	PRJNA1193268	NA	Gerres_oyena_2021_Getafe_Bohol_lcwgs	No	NA	NA
